fips,lat,lon
1205,39.2,140.6
1206,39.2,140.8
1207,39.2,140.8
1208,39.2,140.9
1209,39.2,141.0
1210,39.2,141.1
1211,39.2,141.2
1212,39.2,141.2
1213,39.2,141.4
1214,39.2,141.5
1215,39.2,141.6
1216,39.2,141.8
1217,39.2,141.8
1218,39.1,139.9
1219,39.1,140.0
1220,39.1,140.1
1221,39.1,140.2
1222,39.1,140.2
1223,39.1,140.4
1224,39.1,140.5
1225,39.1,140.6
1226,39.1,140.8
1227,39.1,140.8
1228,39.1,140.9
1229,39.1,141.0
1230,39.1,141.1
1231,39.1,141.2
1232,39.1,141.2
1233,39.1,141.4
1234,39.1,141.5
1235,39.1,141.6
1236,39.1,141.8
1237,39.1,141.8
1238,39.0,139.9
1239,39.0,140.0
1240,39.0,140.1
1241,39.0,140.2
1242,39.0,140.2
1243,39.0,140.4
1244,39.0,140.5
1245,39.0,140.6
1246,39.0,140.8
1247,39.0,140.8
1248,39.0,140.9
1249,39.0,141.0
1250,39.0,141.1
1251,39.0,141.2
1252,39.0,141.2
1253,39.0,141.4
1254,39.0,141.5
1255,39.0,141.6
1256,39.0,141.8
1257,38.9,139.9
1258,38.9,140.0
1259,38.9,140.1
1260,38.9,140.2
1261,38.9,140.2
1262,38.9,140.4
1263,38.9,140.5
1264,38.9,140.6
1265,38.9,140.8
1266,38.9,140.8
1267,38.9,140.9
1268,38.9,141.0
1269,38.9,141.1
1270,38.9,141.2
1271,38.9,141.2
1272,38.9,141.4
1273,38.9,141.5
1274,38.9,141.6
1275,38.8,139.8
1276,38.8,139.9
1277,38.8,140.0
1278,38.8,140.1
1279,38.8,140.2
1280,38.8,140.2
1281,38.8,140.4
1282,38.8,140.5
1283,38.8,140.6
1284,38.8,140.8
1285,38.8,140.8
1286,38.8,140.9
1287,38.8,141.0
1288,38.8,141.1
1289,38.8,141.2
1290,38.8,141.2
1291,38.8,141.4
1292,38.8,141.5
1293,38.7,139.8
1294,38.7,139.8
1295,38.7,139.9
1296,38.7,140.0
1297,38.7,140.1
1298,38.7,140.2
1299,38.7,140.2
1300,38.7,140.4
1301,38.7,140.5
1302,38.7,140.6
1303,38.7,140.8
1304,38.7,140.8
1305,38.7,140.9
1306,38.7,141.0
1307,38.7,141.1
1308,38.7,141.2
1309,38.7,141.2
1310,38.7,141.4
1311,38.7,141.5
1312,38.6,139.6
1313,38.6,139.8
1314,38.6,139.8
1315,38.6,139.9
1316,38.6,140.0
1317,38.6,140.1
1318,38.6,140.2
1319,38.6,140.2
1320,38.6,140.4
1321,38.6,140.5
1322,38.6,140.6
1323,38.6,140.8
1324,38.6,140.8
1325,38.6,140.9
1326,38.6,141.0
1327,38.6,141.1
1328,38.6,141.2
1329,38.6,141.2
1330,38.6,141.4
1331,38.6,141.5
1332,38.5,139.6
1333,38.5,139.8
1334,38.5,139.8
1335,38.5,139.9
1336,38.5,140.0
1337,38.5,140.1
1338,38.5,140.2
1339,38.5,140.2
1340,38.5,140.4
1341,38.5,140.5
1342,38.5,140.6
1343,38.5,140.8
1344,38.5,140.8
1345,38.5,140.9
1346,38.5,141.0
1347,38.5,141.1
1348,38.5,141.2
1349,38.5,141.2
1350,38.5,141.4
1351,38.4,139.5
1352,38.4,139.6
1353,38.4,139.8
1354,38.4,139.8
1355,38.4,139.9
1356,38.4,140.0
1357,38.4,140.1
1358,38.4,140.2
